id,uniqueId,videoId,link,signature,followerCount,aigcLabelType,createTime,desc,playCount,shareCount,gamer,biden_deepfakes,presidential_debates,psa_deepfakes,vietnamese_trump,trump_covers,biden_covers,trump_deepfakes
7245776290426848298,st0l3nm3memes,7271671808980536618,https://www.tiktok.com/@st0l3nm3memes/video/7271671808980536618,"Christ is King 

We serve memes here sir",3686.0,False,2023-08-26 16:40:36,The internet remains undefeated #foryou #foryoupage #fyp #trump #trumpmugshot #donaldtrump #ai #aimusic #aitrump #trumpai #spotify #viral #real #trump2024 #republican #libertarian #jams #beats #fultoncountyjail,450,16,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
7082701856998540334,a.ziooo,7213494326024801582,https://www.tiktok.com/@a.ziooo/video/7213494326024801582,Thank you for 4k!,4693.0,False,2023-03-22 22:02:19,Donald trump beating up rhymes #CapCut #fyp #foryou #foryoupage #💀 #funny #preident #aitrump #trump just like it up please,638,2,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
7245047588713825322,aipresidentcovers,7255737389396561198,https://www.tiktok.com/@aipresidentcovers/video/7255737389396561198,ai covers made on covers.ai,1582.0,False,2023-07-14 18:07:00,what should AI Trump sing next? #trump #aicover #aicovers #aitrump #spongebob #spongebobsquarepants,4208,32,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
6705947185860707334,hughzhang44,7250669041877060906,https://www.tiktok.com/@hughzhang44/video/7250669041877060906,Digital Nomad | Stay Curious,29.0,False,2023-07-01 2:19:10,#Trump in Middle school.#CapCut,1371,3,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,trump_deepfake
7295303062915531822,trumpalwaysright,7297906590240312622,https://www.tiktok.com/@trumpalwaysright/video/7297906590240312622,TRUMPNATION BABY!!!,166.0,False,2023-11-05 9:25:42,#trump2024 #dancewithpubgm #trump #aigc #aitrump #trumpsings,389,1,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,trump_deepfake
6759238661298832390,redmist2033,7204627683983002923,https://www.tiktok.com/@redmist2033/video/7204627683983002923,"twitter: @Redmist2033
Follow for giveaways and funny Streams!",500.0,False,2023-02-27 0:35:08,#sonsoftheforestgame #theforestgame #theforest #sonsoftheforest #voicelines #aivoiceover #aipresidentgaming #aitrump #aijoe,657,0,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
7202746627580478507,trumposaurusrex,7331564693083180334,https://www.tiktok.com/@trumposaurusrex/video/7331564693083180334,AI generated Trump gallery,1301.0,True,2024-02-04 2:15:55,"Pro tip: Tiktok is a cesspool for liberal degenerates, meaning I’m exactly where I need to be. Introducing every alien’s (and liberal’s) worst nightmare : waking up to see Donald Trump Space Marine on his front doorstep #donaldtrumpspacemarine #donaldtrumpspaceforce #trump #trump2024 #trumptrain #trumpmemes #trumpsupporters #donaldtrump #trumptower #presidenttrump #trumposaurusrex #trumposaurus #trumposaur #aigeneratedart #aiart #aiartcommunity #aiartwork #aigeneratedmemes #aigeneratedartwork #aigeneratedimages #aitrumpart #aitrump #obama #barackobama #obamafoundation #michelleobama #makeamericagreatagain ",470,0,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,trump_deepfake
6954722160506356742,ang3l.f4iryyy,7262459996342930720,https://www.tiktok.com/@ang3l.f4iryyy/video/7262459996342930720,"I'LL BE BACK TO ACTIVE SOON
multifandom💋
portuguese🇵🇹
she/they🩻
intp❤️‍🩹",101.0,False,2023-08-01 20:54:02,IM DYING😭😭 #mychemicalromance #mcr #emotrump #aitrump #mychemicalromancetiktok #emo #fyp,943,17,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
7215647873491338246,kchtz_._,7251532503113092379,https://www.tiktok.com/@kchtz_._/video/7251532503113092379,"Since you're here, you liked my video, so follow for more.
Also check my yt",2641.0,False,2023-07-03 10:09:49,Yt is in my profile #viral #cupid #trump #aitrump #xyzbca #song,2736,5,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
7135909488888071210,isnortcrack69,7298804199456967982,https://www.tiktok.com/@isnortcrack69/video/7298804199456967982,I like cars and snort crack,19.0,False,2023-11-07 19:28:10,Donald Trump sings 4 Big Guys 💀 #fyp #aipresidents #ai #trump #donaldtrump #aitrump #4bigguys #4big #4bigguysandtheybustinmyeyes #4bigguys🥵🥵🥵,1114,2,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
7202746627580478507,trumposaurusrex,7337139912099106094,https://www.tiktok.com/@trumposaurusrex/video/7337139912099106094,AI generated Trump gallery,1301.0,True,2024-02-19 2:50:33,“Come quietly or there will be trouble” -Trumpocop #trumpocop #robocop #donaldtrumpspaceforce #trump #trump2024 #trumptrain #trumpmemes #trumpsupporters #donaldtrump #trumptower #presidenttrump #trumposaurusrex #trumposaurus #trumposaur #aigeneratedart #aiart #aiartcommunity #aiartwork #aigeneratedmemes #aigeneratedartwork #aigeneratedimages #aitrumpart #aitrump #obama #barackobama #obamafoundation #michelleobama #makeamericagreatagain,402,2,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,trump_deepfake
7268750290407556142,gardeningandgore,7349034826990685482,https://www.tiktok.com/@gardeningandgore/video/7349034826990685482,"🎃 Gardening & gore, Halloween & horror! 🎃 $melissamorbid",547.0,False,2024-03-22 4:09:07,Goth AI Trump 🎃 #goth #gothic #everydayishalloween #Halloween #horror #maga #makeamericagothagain #trump #ai #aitrump,396,8,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,trump_deepfake
7367579292059943968,carljungun,7367613430225784097,https://www.tiktok.com/@carljungun/video/7367613430225784097,"Full Songs on YT 
             '
             '
            \/",2.0,True,2024-05-11 5:43:21,"BBL Drizzy - When trump heard about the beef, he jumped right on. #bbl #bbldrizzy  #drake #kendricklamar #kendrick  #beef #drizzy #drizzydrake  #drizzylations #ai #aimusic  #airap #aihiphop #meetthegrahams  #trump #aitrump #behumble  #humble #trumpsings",765,1,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
6759238661298832390,redmist2033,7203106814269918507,https://www.tiktok.com/@redmist2033/video/7203106814269918507,"twitter: @Redmist2033
Follow for giveaways and funny Streams!",500.0,False,2023-02-22 22:13:25,#president #aitrump #aijoe #ai #aipresidentgaming #aivoiceover #codm #cod #mw2 #voicelines Like and follow!,563,0,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
7295303062915531822,trumpalwaysright,7297246340092874027,https://www.tiktok.com/@trumpalwaysright/video/7297246340092874027,TRUMPNATION BABY!!!,166.0,False,2023-11-03 14:42:54,"#trump2024 #aigc #aitrump #trumpsings When I was young, I am so cooool !!!! @Biden 2020 💙 ",527,2,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
7202746627580478507,trumposaurusrex,7331531958809333034,https://www.tiktok.com/@trumposaurusrex/video/7331531958809333034,AI generated Trump gallery,1301.0,True,2024-02-04 0:08:54,"Striking fear into the hearts of all soy latte drinking, low-testosterone blue haired men: Green Beret Commander Trump #donaldtrumpspaceforce #trump #trump2024 #trumptrain #trumpmemes #trumpsupporters #donaldtrump #trumptower #presidenttrump #trumposaurusrex #trumposaurus #trumposaur #aigeneratedart #aiart #aiartcommunity #aiartwork #aigeneratedmemes #aigeneratedartwork #aigeneratedimages #aitrumpart #aitrump #obama #barackobama #obamafoundation #michelleobama #makeamericagreatagain #greenberet #greenberetfoundation #greenberetchallenge #greenberetmindset ",466,3,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
6759238661298832390,redmist2033,7203106402947140907,https://www.tiktok.com/@redmist2033/video/7203106402947140907,"twitter: @Redmist2033
Follow for giveaways and funny Streams!",500.0,False,2023-02-22 22:11:48,AI presidents part 11 #voicelines #mw2 #cod #codm #aivoiceover #aipresidentgaming #ai #aijoe #aitrump #president,652,2,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
6759238661298832390,redmist2033,7203028455422709034,https://www.tiktok.com/@redmist2033/video/7203028455422709034,"twitter: @Redmist2033
Follow for giveaways and funny Streams!",500.0,False,2023-02-22 17:09:20,#aitrump #aijoe #ai #aipresidentgaming #aivoiceover #codm #cod #mw2 #voicelines,935,2,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
7109573981304276010,kylethebot2001,7271082179625602346,https://www.tiktok.com/@kylethebot2001/video/7271082179625602346,,219.0,False,2023-08-25 2:32:37,Get my mans out #donaldtrump #trump #donaldtrump2024 #donaldtrumpmemes #donaldtrumpteam #joebiden #aipresidents #aitrump #donaldtrumpsupporters #funny #comedytiktok #aimusic#aicover #aicovers #mixtape #trumpmemes #foryoupge #foryoumusic #fyp #fypシ #viral,835,5,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
